,directLowPrice,highprice,lowprice,marketPrice,midprice,mtg_subTypeName,productId
0,,,,,,Foil,188990
1,,,,,,Foil,188997
2,,,,,,Normal,188996
3,,,,,,Foil,188995
4,,,,,,Normal,188994
5,,,,,,Normal,188993
6,,,,,,Normal,188992
7,,,,,,Foil,188991
8,,24.99,14.9,15.57,15.29,Normal,185802
9,,,,149.99,,Foil,185803
10,,,,,,Foil,188642
11,,3.99,0.35,0.61,0.59,Normal,188639
12,,2.99,0.29,0.51,0.52,Normal,188641
13,,,,,,Foil,188640
14,,,,,,Normal,188638
15,,1.99,0.05,0.14,0.15,Normal,188501
16,,6.49,0.24,0.46,0.46,Normal,188504
17,,,,,,Foil,188503
18,,,,,,Foil,188502
19,,11.02,4.35,5.25,5.39,Foil,188505
20,0.07,0.99,0.05,0.12,0.14,Normal,187137
21,0.08,150.0,0.05,0.11,0.15,Normal,188306
22,0.07,0.99,0.05,0.12,0.14,Normal,187137
23,0.06,0.99,0.05,0.1,0.14,Normal,187135
24,0.06,0.99,0.05,0.1,0.14,Normal,187135
25,0.1,0.99,0.05,0.11,0.15,Normal,188307
26,0.07,0.99,0.05,0.1,0.15,Normal,187133
27,0.07,150.0,0.05,0.12,0.15,Normal,188308
28,0.07,0.99,0.05,0.1,0.15,Normal,187133
29,0.06,0.99,0.05,0.1,0.15,Normal,187134
30,0.06,0.99,0.05,0.1,0.15,Normal,187134
31,0.06,0.99,0.05,0.1,0.15,Normal,187134
32,0.06,150.0,0.05,0.13,0.15,Normal,187136
33,0.07,2.69,0.58,0.98,1.0,Foil,188310
34,0.06,150.0,0.05,0.13,0.15,Normal,187136
35,,7.5,1.88,2.87,3.68,Foil,188208
36,,18.75,6.0,8.15,8.99,Foil,187193
37,2.79,2.99,0.04,0.13,0.25,Normal,187131
38,0.04,150.0,0.01,0.05,0.14,Normal,188891
39,,9.8,3.8,4.37,4.79,Foil,187125
40,,35.0,22.0,22.6,27.32,Foil,188636
41,0.02,1.0,0.09,0.1,0.25,Foil,188353
42,0.03,0.99,0.1,0.26,0.35,Foil,188890
43,0.05,1.99,0.37,0.53,0.98,Foil,188889
44,0.04,150.0,0.01,0.07,0.14,Normal,188214
45,0.04,1.69,0.2,0.66,0.51,Foil,188888
46,0.09,2.99,0.1,0.13,0.25,Normal,187246
47,,3.68,1.37,1.7,1.96,Foil,188513
48,,,,39.99,,Foil,189037
49,,4.99,0.09,0.2,0.25,Normal,187129
50,,,,5.23,,Normal,189036
51,0.08,3.37,0.05,0.09,0.25,Normal,187197
52,,,,,,Foil,189035
53,,4.99,0.75,1.16,1.86,Normal,188352
54,,,,,,Foil,189034
55,0.05,3.37,0.05,0.1,0.25,Normal,187254
56,,,,,,Foil,189033
57,0.19,3.5,0.19,0.3,0.78,Normal,187196
58,,,,,,Foil,189032
59,0.1,3.37,0.05,0.15,0.25,Normal,187180
60,,,,9.48,,Normal,189031
61,0.1,4.95,1.0,1.9,2.09,Foil,188655
62,,,,,,Foil,189030
63,,9.99,1.48,2.51,3.45,Foil,188351
